tweets_id,tweets_in_thread,created_at,text,retweet_count,like_count,reply_count,quote_count,user_id,username,user_name,user_picture,verified
['1377486673160908808'],1,2021-04-01T05:03:10.000Z,Vou descobrir como funciona esse bate papo dentro do Twitter e fazer um com vocês qualquer dia.,13,378,24,0,1198004545,AndreJanonesAdv,André Janones,https://pbs.twimg.com/profile_images/1437521323375448076/E_y9wWTx_normal.jpg,True
['1377660435877523458'],1,2021-04-01T16:33:38.000Z,Dando um feedback aos estudantes que me procuraram por conta do resultado do Enem. Descobri que hoje é ponto facultativo por aqui e que teremos que aguardar agenda do INEP para próxima semana.,16,196,14,3,1198004545,AndreJanonesAdv,André Janones,https://pbs.twimg.com/profile_images/1437521323375448076/E_y9wWTx_normal.jpg,True
['1377660850283110406'],1,2021-04-01T16:35:17.000Z,"Ainda aos Estudantes, me passem todas as demandas relacionadas ao INEP e façam essa mensagem circular entre vocês, para que a gente possa chegar lá munido de evidências de que ha um erro e que uma resposta precisa ser dada.",66,385,71,19,1198004545,AndreJanonesAdv,André Janones,https://pbs.twimg.com/profile_images/1437521323375448076/E_y9wWTx_normal.jpg,True
"['1377662944096497664', '1377663583706869763']",2,2021-04-01T16:43:36.000Z,"Eu ainda não entendi o porque da Câmara adotar ponto facultativo hoje, mas imagino que seja em respeito ao dia do Paulo Guedes, vamos relembrar algumas grandes mentiras do ministro:

- com 5 bi a gente vence o covid 
- 1 trilhão em privatizações 
- Da pra zerar o déficit em 1 ano
- eu entro no mercado as pessoas me agradecem
- o Brasil da grandes sinais de retomada 
- nós vamos surpreender o mundo 
- vamos criar empregos",53,637,38,3,1198004545,AndreJanonesAdv,André Janones,https://pbs.twimg.com/profile_images/1437521323375448076/E_y9wWTx_normal.jpg,True
['1377677127080894468'],1,2021-04-01T17:39:57.000Z,"Tudo pra eles, e nada pro povo! https://t.co/O2pbmoOnY1",31,306,35,1,1198004545,AndreJanonesAdv,André Janones,https://pbs.twimg.com/profile_images/1437521323375448076/E_y9wWTx_normal.jpg,True
"['1378060396997804039', '1378061328422727682']",2,2021-04-02T19:02:56.000Z,"Vi um comentário que me colocava na prateleira de ""Deputado da bancada evangélica"", nunca pensei que falaria sobre isso, mas me incomodou, explico: o André Janones ser humano, é cristão, o Deputado Federal André Janones é um homem temente a Deus e eu quero explicar a diferença+
Nenhum dogma pode estar acima das minhas decisões políticas, ser temente a Deus é pensar nas minorias, nos que são marginalizados, nos que tem fome, foi isso que Jesus Cristo no deixou como legado. Cristo é amor, Cristo é abraço.",54,985,62,7,1198004545,AndreJanonesAdv,André Janones,https://pbs.twimg.com/profile_images/1437521323375448076/E_y9wWTx_normal.jpg,True
['1378679151230656514'],1,2021-04-04T12:01:38.000Z,"Disse-lhe Jesus: ""Eu sou a ressurreição e a vida. Aquele que crê em mim, ainda que morra, viverá; e quem vive e crê em mim, não morrerá eternamente.” (João 11:25-26)

Bom domingo de Páscoa a todos vocês meus amigos! https://t.co/VdG5b4nCqn",26,551,45,1,1198004545,AndreJanonesAdv,André Janones,https://pbs.twimg.com/profile_images/1437521323375448076/E_y9wWTx_normal.jpg,True
['1380179309009240072'],1,2021-04-08T15:22:44.000Z,"O presidente Jair Bolsonaro acha absurdo pagar um auxílio justo aos necessitados em um momento de pandemia, porque diz que as pessoas não devem depender do Estado e devem produzir. O mesmo Jair e família não produz e vive do Estado, com direito a férias de 2,4mi as custas do povo",416,2743,218,39,1198004545,AndreJanonesAdv,André Janones,https://pbs.twimg.com/profile_images/1437521323375448076/E_y9wWTx_normal.jpg,True
['1380184110220648448'],1,2021-04-08T15:41:49.000Z,"Pelo mesmo motivo, o Deputado Daniel Silveira foi preso. E ai? https://t.co/vcwL3cumop",19,196,16,0,1198004545,AndreJanonesAdv,André Janones,https://pbs.twimg.com/profile_images/1437521323375448076/E_y9wWTx_normal.jpg,True
['1380186593592479746'],1,2021-04-08T15:51:41.000Z,"Meus sentimentos em relação a omissão do Congresso Nacional hoje, são impublicáveis.",22,337,5,0,1198004545,AndreJanonesAdv,André Janones,https://pbs.twimg.com/profile_images/1437521323375448076/E_y9wWTx_normal.jpg,True
['1380312475405586435'],1,2021-04-09T00:11:53.000Z,"A CPI da Covid, se instaurada, dificilmente vai mostrar algo que a gente já não consiga afirmar veementemente: o governo federal falhou miseravelmente no combate à pandemia, por muitas vezes, de forma dolosa.",55,621,48,2,1198004545,AndreJanonesAdv,André Janones,https://pbs.twimg.com/profile_images/1437521323375448076/E_y9wWTx_normal.jpg,True
['1380321253198811138'],1,2021-04-09T00:46:46.000Z,"Se eu falasse tudo que eu penso sobre o atual momento, tenho certeza que mais uma vez seria levado ao conselho de ética e muito provavelmente perderia o meu mandato, então, o que resta é trabalhar mais e expor menos o sentimento entalado, mas nós vamos vencer!",34,611,40,0,1198004545,AndreJanonesAdv,André Janones,https://pbs.twimg.com/profile_images/1437521323375448076/E_y9wWTx_normal.jpg,True
['1380611569965498392'],1,2021-04-09T20:00:23.000Z,"Uma terceira via para disputa de 22 tem que estar disposta a empunhar bandeiras ambientais, democratas, liberais e acima de tudo ser humanista e ter o social como carro chefe, vamos passar por momentos assombrosos. Dito isto, não é o momento para campanha, vivemos uma crise.",32,606,115,5,1198004545,AndreJanonesAdv,André Janones,https://pbs.twimg.com/profile_images/1437521323375448076/E_y9wWTx_normal.jpg,True
['1381640542933618688'],1,2021-04-12T16:09:09.000Z,"Mais da metade da população brasileira sem garantia de segurança alimentar, uma crise econômica, sanitária e humanitária sem precedentes e o presidente preocupado com facilitar acesso a armas.",69,738,95,10,1198004545,AndreJanonesAdv,André Janones,https://pbs.twimg.com/profile_images/1437521323375448076/E_y9wWTx_normal.jpg,True
